instance_id,model_name,arena,round_number,gpt5_grounded,gpt5_hallucinated,gpt5_validated
PvpTournament.BattleSnake.r15.s1000.p2.gpt-5.grok-code-fast-1.250927063213__gpt-5__r10,openai/gpt-5,BattleSnake,10,False,False,False
PvpTournament.BattleSnake.r15.s1000.p2.claude-sonnet-4-5-20250929.o3.251002185430__o3__r14,openai/o3,BattleSnake,14,False,False,False
PvpTournament.BattleSnake.r15.s1000.p2.gemini-2.5-pro.gpt-5-mini.250927062907__gpt-5-mini__r2,openai/gpt-5-mini,BattleSnake,2,False,False,False
PvpTournament.RoboCode.r15.s250.p2.claudesonnet4520250929.gpt5.251011223515__claudesonnet4520250929__r10,anthropic/claude-sonnet-4-5-20250929,RoboCode,10,True,True,True
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-20250514.gpt-5-mini.251011141448__claude-sonnet-4-20250514__r1,anthropic/claude-sonnet-4-20250514,CoreWar,1,True,False,True
PvpTournament.Halite.r15.s250.p2.claude-sonnet-4-5-20250929.gemini-2.5-pro.251021004128.216ae39e-d47a-4d1e-bf1d-cfca7f68e727-uuid__gemini-2.5-pro__r10,google/gemini-2.5-pro,Halite,10,False,True,False
PvpTournament.Halite.r15.s250.p2.claude-sonnet-4-5-20250929.o3.251020222253__o3__r5,openai/o3,Halite,5,False,False,False
PvpTournament.BattleSnake.r15.s1000.p2.claude-sonnet-4-20250514.gemini-2.5-pro.251001214747__claude-sonnet-4-20250514__r1,anthropic/claude-sonnet-4-20250514,BattleSnake,1,True,False,False
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-20250514.gpt-5-mini.251018161304.776916f2-f54c-4aaa-9d82-ef6f09ff51fb-uuid__gpt-5-mini__r15,openai/gpt-5-mini,HuskyBench,15,False,False,False
PvpTournament.RobotRumble.r15.s1000.p2.gpt-5.o3.251006191025__gpt-5__r15,openai/gpt-5,RobotRumble,15,False,False,True
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-20250514.gpt-5-mini.251011141448__claude-sonnet-4-20250514__r10,anthropic/claude-sonnet-4-20250514,CoreWar,10,True,False,True
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-20250514.gemini-2.5-pro.251013181313__claude-sonnet-4-20250514__r12,anthropic/claude-sonnet-4-20250514,RobotRumble,12,True,True,False
PvpTournament.BattleSnake.r15.s1000.p2.claude-sonnet-4-20250514.gpt-5-mini.251001214820__gpt-5-mini__r10,openai/gpt-5-mini,BattleSnake,10,False,False,False
PvpTournament.RoboCode.r15.s250.p2.claudesonnet420250514.gemini25pro.251011064436__gemini25pro__r15,google/gemini-2.5-pro,RoboCode,15,False,False,False
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-20250514.gpt-5.251013181320__gpt-5__r1,openai/gpt-5,RobotRumble,1,False,False,True
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-20250514.qwen3-coder-plus-2025-09-23.251013181347__qwen3-coder-plus-2025-09-23__r5,qwen3-coder-plus-2025-09-23,RobotRumble,5,False,False,False
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-20250514.gpt-5.251018161309.6437309f-ed63-4b31-b263-b5c23229a509-uuid__gpt-5__r12,openai/gpt-5,HuskyBench,12,False,False,False
PvpTournament.Halite.r15.s250.p2.gpt-5-mini.o3.251021003458.c26d98b1-e036-4820-8067-3d5ee7de0278-uuid__gpt-5-mini__r12,openai/gpt-5-mini,Halite,12,False,False,False
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-20250514.qwen3-coder-plus-2025-09-23.251013020245__qwen3-coder-plus-2025-09-23__r12,qwen3-coder-plus-2025-09-23,CoreWar,12,False,False,False
PvpTournament.RobotRumble.r15.s1000.p2.gemini-2.5-pro.gpt-5-mini.251006010532__gemini-2.5-pro__r1,google/gemini-2.5-pro,RobotRumble,1,True,False,False
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-20250514.claude-sonnet-4-5-20250929.251011151936__claude-sonnet-4-5-20250929__r12,anthropic/claude-sonnet-4-5-20250929,CoreWar,12,True,True,True
PvpTournament.HuskyBench.r15.s100.p2.gpt-5.qwen3-coder-plus-2025-09-23.251021004241.7b8e27fa-3615-4f64-9696-4adade9c4460-uuid__qwen3-coder-plus-2025-09-23__r10,qwen3-coder-plus-2025-09-23,HuskyBench,10,False,False,False
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-5-20250929.gemini-2.5-pro.251011155929__gemini-2.5-pro__r15,google/gemini-2.5-pro,CoreWar,15,True,False,False
PvpTournament.RoboCode.r15.s250.p2.gpt5mini.o3.251010001419__gpt5mini__r5,openai/gpt-5-mini,RoboCode,5,False,False,False
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-5-20250929.grok-code-fast-1.251018161150.da317a4c-da9e-443f-9502-816878a1127b-uuid__grok-code-fast-1__r1,x-ai/grok-code-fast-1,HuskyBench,1,False,False,True
PvpTournament.Halite.r15.s250.p2.claude-sonnet-4-20250514.o3.251021003548.cb0ee527-5fa2-4fd6-a836-363f73eb0d92-uuid__claude-sonnet-4-20250514__r15,anthropic/claude-sonnet-4-20250514,Halite,15,True,True,True
PvpTournament.HuskyBench.r15.s100.p2.gpt-5.grok-code-fast-1.251018161234.c5546626-2d77-49d5-a04f-3cdfde8a0977-uuid__gpt-5__r14,openai/gpt-5,HuskyBench,14,False,False,False
PvpTournament.HuskyBench.r15.s100.p2.gemini-2.5-pro.grok-code-fast-1.251018161139.d2343e04-41aa-4b81-8668-6b734573ea1d-uuid__gemini-2.5-pro__r15,google/gemini-2.5-pro,HuskyBench,15,False,False,False
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-5-20250929.qwen3-coder-plus-2025-09-23.251014142521__qwen3-coder-plus-2025-09-23__r2,qwen3-coder-plus-2025-09-23,RobotRumble,2,False,False,False
PvpTournament.RoboCode.r15.s250.p2.claudesonnet420250514.grokcodefast1.251011043653__claudesonnet420250514__r14,anthropic/claude-sonnet-4-20250514,RoboCode,14,True,False,True
PvpTournament.CoreWar.r15.s1000.p2.o3.qwen3-coder-plus-2025-09-23.251004065118__o3__r12,openai/o3,CoreWar,12,True,False,True
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-20250514.claude-sonnet-4-5-20250929.251018161809.d9efb8e9-3692-42f4-8f6f-1a19840fa5a6-uuid__claude-sonnet-4-5-20250929__r1,anthropic/claude-sonnet-4-5-20250929,HuskyBench,1,True,False,False
PvpTournament.BattleSnake.r15.s1000.p2.gemini-2.5-pro.o3.250928201854__gemini-2.5-pro__r12,google/gemini-2.5-pro,BattleSnake,12,True,True,False
PvpTournament.BattleSnake.r15.s1000.p2.gpt-5-mini.qwen3-coder-plus-2025-09-23.251003051004__qwen3-coder-plus-2025-09-23__r10,qwen3-coder-plus-2025-09-23,BattleSnake,10,False,True,False
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-5-20250929.grok-code-fast-1.251014142432__claude-sonnet-4-5-20250929__r12,anthropic/claude-sonnet-4-5-20250929,RobotRumble,12,True,True,True
PvpTournament.HuskyBench.r15.s100.p2.gpt-5.o3.251018161404.a516d369-826c-4472-b5ee-a1051c667b08-uuid__o3__r3,openai/o3,HuskyBench,3,False,False,False
